id,productsCount,orderPrice,buyer,buyerCity,orderStatus,shippingPrice,orderDate,orderTime,type,buyerSatisfaction
98,1,7.99,Antanas G.,Kaišiadorys,pristatytas,4.99,2020-03-14,12:6,internetu,5.0
99,3,34.97,Aurimas M.,Kaišiadorys,pristatytas,2.99,2022-09-28,15:49,parduotuvėje,5.0
100,2,17.98,Ona L.,Raseiniai,išsiųstas,2.99,2015-05-07,10:56,parduotuvėje,2.0
101,1,7.99,Antanas O.,Panevėžys,pristatytas,2.99,2019-05-20,15:16,internetu,4.0
102,3,27.97,Vilma F.,Šilutė,pristatytas,4.99,2019-05-06,8:35,internetu,3.0
103,2,12.98,Vilma X.,Plungė,pristatytas,4.99,2015-09-20,15:22,internetu,5.0
104,3,29.97,Aurimas L.,Kelmė,naujas,2.99,2023-06-21,8:11,parduotuvėje,3.0
105,5,38.95,Ona K.,Joniškis,pristatytas,0.0,2016-06-25,15:15,parduotuvėje,1.0
106,5,124.95,Giedrius F.,Ignalina,pristatytas,0.0,2023-01-29,9:17,internetu,4.0
107,3,29.97,Vitalijus K.,Šalčininkai,pristatytas,2.99,2022-02-14,9:20,parduotuvėje,
108,1,7.99,Jolanta H.,Švenčionys,pristatytas,2.99,2020-04-20,9:8,parduotuvėje,4.0
109,2,14.98,Marius R.,Trakai,pristatytas,0.0,2020-04-17,13:47,internetu,1.0
110,3,24.97,Jolanta H.,Raseiniai,pristatytas,2.99,2021-02-20,15:57,parduotuvėje,4.0
111,2,57.98,Jolanta G.,Anykščiai,pristatytas,4.99,2022-06-11,13:31,internetu,2.0
112,4,38.96,Antanas S.,Zarasai,pristatytas,2.99,2023-11-29,9:27,internetu,2.0
113,1,49.99,Aidas A.,Zarasai,pristatytas,2.99,2024-04-18,13:19,internetu,5.0
114,5,63.95,Vaidas X.,Visaginas,pristatytas,9.99,2022-01-10,9:55,internetu,2.0
115,3,30.97,Aurimas M.,Kaišiadorys,pristatytas,2.99,2024-02-12,13:39,internetu,2.0
116,5,83.95,Aurimas O.,Palanga,pristatytas,9.99,2016-02-09,10:59,internetu,5.0
117,2,37.98,Rimantas T.,Varėna,pristatytas,2.99,2020-01-11,14:33,parduotuvėje,3.0
118,5,105.95,Jonas D.,Radviliškis,pristatytas,2.99,2023-03-09,9:28,parduotuvėje,5.0
119,2,12.98,Vytautas I.,Marijampolė,pristatytas,2.99,2019-10-26,15:37,parduotuvėje,5.0
120,5,54.95,Elžbieta N.,Šalčininkai,pristatytas,2.99,2024-05-30,10:16,internetu,4.0
121,1,4.99,Jurgis A.,Raseiniai,pristatytas,0.0,2020-06-18,9:6,parduotuvėje,5.0
122,4,97.96,Vaidas C.,Kaišiadorys,patvirtintas,19.99,2021-01-30,12:2,internetu,3.0
123,2,14.98,Vilma R.,Šilutė,patvirtintas,2.99,2020-04-11,10:55,internetu,4.0
124,5,144.95,Marius G.,Telšiai,išsiųstas,19.99,2015-07-18,10:33,parduotuvėje,5.0
125,9,171.91,Giedrius T.,Kaunas,naujas,0.0,2023-06-30,10:32,internetu,1.0
126,1,29.99,Gintaras S.,Zarasai,naujas,19.99,2016-09-15,10:52,internetu,4.0
127,2,79.98,Marius P.,Panevėžys,išsiųstas,0.0,2018-11-15,13:53,internetu,3.0
128,4,31.96,Vaidas O.,Zarasai,pristatytas,2.99,2020-06-28,11:24,internetu,5.0
129,1,5.99,Jonas T.,Šilutė,pristatytas,2.99,2014-12-01,13:31,parduotuvėje,3.0
130,4,26.96,Aurimas B.,Plungė,atšauktas,9.99,2014-10-29,10:23,parduotuvėje,2.0
131,2,12.98,Aurimas K.,Mažeikiai,atšauktas,2.99,2015-12-25,12:48,internetu,1.0
132,4,24.96,Inga K.,Širvintos,atšauktas,9.99,2020-03-25,13:40,internetu,5.0
133,5,82.95,Vaidas G.,Plungė,pristatytas,9.99,2023-09-23,8:11,internetu,5.0
134,2,22.98,Inga F.,Šilutė,pristatytas,2.99,2016-06-17,14:7,internetu,2.0
135,3,30.97,Marius U.,Kaišiadorys,išsiųstas,0.0,2018-01-01,15:57,internetu,2.0
136,1,5.99,Rasa Q.,Prienai,pristatytas,9.99,2015-05-04,12:15,parduotuvėje,4.0
137,2,39.98,Vitalijus H.,Tauragė,pristatytas,2.99,2022-10-18,13:22,internetu,5.0
138,4,55.96,Gintautas R.,Šilutė,pristatytas,9.99,2015-02-14,12:23,internetu,1.0
139,5,105.95,Aurimas V.,Tauragė,patvirtintas,2.99,2014-12-23,10:54,parduotuvėje,2.0
140,5,103.95,Vitalijus C.,Mažeikiai,patvirtintas,2.99,2016-06-13,11:14,internetu,5.0
141,4,69.96,Jurgis Z.,Šilutė,pristatytas,9.99,2022-03-08,10:45,internetu,4.0
142,1,9.99,Vytautas I.,Anykščiai,pristatytas,2.99,2015-07-22,14:54,internetu,5.0
143,2,34.98,Elžbieta F.,Šilutė,pristatytas,2.99,2019-04-16,11:16,internetu,5.0
144,4,48.96,Aidas Q.,Palanga,pristatytas,4.99,2022-09-07,13:30,internetu,3.0
145,5,36.95,Gintaras X.,Kaišiadorys,pristatytas,9.99,2022-07-16,10:16,internetu,3.0
146,7,182.93,Aurimas I.,Šiauliai,pristatytas,19.99,2019-01-16,8:33,parduotuvėje,5.0
147,4,34.96,Rasa P.,Kaišiadorys,pristatytas,2.99,2023-09-17,14:12,internetu,
148,3,32.97,Aurimas U.,Elektrėnai,pristatytas,9.99,2024-02-11,10:35,parduotuvėje,3.0
149,4,179.96,Laima E.,Šilutė,pristatytas,2.99,2022-08-17,15:40,internetu,5.0
150,5,58.95,Vaida K.,Kėdainiai,atšauktas,19.99,2015-03-15,9:19,parduotuvėje,5.0
151,5,128.95,Vytautas I.,Radviliškis,pristatytas,2.99,2015-04-03,14:9,parduotuvėje,3.0
152,5,103.95,Bronius G.,Anykščiai,pristatytas,9.99,2023-01-30,8:52,internetu,5.0
153,3,27.97,Rimantas U.,Prienai,atšauktas,2.99,2016-09-11,15:36,internetu,2.0
154,2,55.98,Petras H.,Zarasai,pristatytas,9.99,2015-11-13,15:16,internetu,
155,2,9.98,Gintarė V.,Kėdainiai,patvirtintas,2.99,2021-11-26,11:20,internetu,5.0
156,1,7.99,Petras Y.,Kelmė,pristatytas,2.99,2016-11-05,14:2,internetu,3.0
157,1,49.99,Jolanta J.,Zarasai,pristatytas,19.99,2019-10-11,14:9,internetu,1.0
158,2,17.98,Inga E.,Zarasai,patvirtintas,2.99,2024-04-21,11:17,internetu,5.0
159,2,14.98,Bronius C.,Zarasai,pristatytas,4.99,2015-01-06,15:0,internetu,3.0
160,1,7.99,Vaida N.,Pakruojis,pristatytas,2.99,2023-12-27,12:26,internetu,
161,4,36.96,Aidas A.,Šilutė,pristatytas,2.99,2016-09-09,11:57,internetu,3.0
162,1,49.99,Vilma A.,Utena,pristatytas,2.99,2023-04-26,9:56,internetu,3.0
163,5,92.95,Marius U.,Kėdainiai,pristatytas,4.99,2022-05-24,12:23,internetu,5.0
164,1,4.99,Jolanta J.,Kelmė,patvirtintas,2.99,2020-02-20,10:54,parduotuvėje,5.0
165,1,49.99,Marius Q.,Elektrėnai,pristatytas,2.99,2020-09-25,10:3,internetu,2.0
166,1,9.99,Jolanta L.,Jonava,išsiųstas,2.99,2019-11-05,8:51,internetu,3.0
167,5,69.95,Dalia V.,Kybartai,pristatytas,2.99,2024-01-22,10:4,internetu,5.0
168,4,32.96,Aurimas L.,Alytus,pristatytas,2.99,2018-04-07,13:55,internetu,4.0
169,5,43.95,Gintautas D.,Kėdainiai,pristatytas,2.99,2017-01-25,9:13,internetu,5.0
170,2,99.98,Ona C.,Elektrėnai,pristatytas,2.99,2023-11-29,13:55,internetu,5.0
171,4,75.96,Gintautas E.,Zarasai,pristatytas,2.99,2022-05-28,11:1,parduotuvėje,5.0
172,4,68.96,Vytautas T.,Šilutė,pristatytas,2.99,2015-12-01,8:30,internetu,1.0
173,2,15.98,Jonas H.,Zarasai,pristatytas,4.99,2018-04-07,9:44,parduotuvėje,3.0
174,5,42.95,Petras C.,Širvintos,patvirtintas,2.99,2020-04-08,9:18,parduotuvėje,4.0
175,3,29.97,Bronius E.,Kėdainiai,pristatytas,9.99,2023-12-03,11:34,internetu,2.0
176,2,15.98,Inga S.,Kaišiadorys,pristatytas,2.99,2021-10-10,13:32,internetu,5.0
177,3,24.97,Jolanta K.,Šilutė,pristatytas,9.99,2024-03-26,15:38,internetu,5.0
178,5,57.95,Inga N.,Marijampolė,pristatytas,19.99,2017-01-08,10:40,internetu,4.0
179,1,4.99,Gintaras C.,Ukmergė,pristatytas,19.99,2023-07-14,11:44,internetu,3.0
180,4,60.96,Jolanta P.,Druskininkai,pristatytas,2.99,2024-03-08,11:16,internetu,4.0
181,3,67.97,Laima M.,Kybartai,naujas,4.99,2015-07-12,14:58,internetu,3.0
182,4,58.96,Gintautas X.,Jonava,pristatytas,0.0,2023-05-09,14:35,internetu,5.0
183,2,39.98,Jolanta O.,Kaišiadorys,pristatytas,2.99,2021-10-18,8:33,parduotuvėje,5.0
184,3,89.97,Aurimas C.,Prienai,patvirtintas,4.99,2017-02-04,10:12,internetu,4.0
185,5,75.95,Gintautas E.,Kazlų Rūda,pristatytas,2.99,2020-07-30,9:27,internetu,4.0
186,2,19.98,Rasa F.,Kazlų Rūda,pristatytas,2.99,2020-11-29,11:48,parduotuvėje,5.0
187,3,40.97,Vaida M.,Kaišiadorys,pristatytas,2.99,2024-05-10,11:47,internetu,4.0
188,3,54.97,Dalia T.,Šilutė,pristatytas,2.99,2022-12-07,11:47,internetu,5.0
189,1,29.99,Ona C.,Kaišiadorys,pristatytas,2.99,2021-03-20,15:34,internetu,5.0
190,1,9.99,Rimantas J.,Kybartai,pristatytas,0.0,2017-01-23,14:5,internetu,
191,2,19.98,Jolanta U.,Šilutė,pristatytas,0.0,2017-11-07,12:15,parduotuvėje,5.0
192,2,10.98,Aurimas G.,Klaipėda,išsiųstas,2.99,2023-02-20,13:33,internetu,5.0
193,4,26.96,Vaida Q.,Kėdainiai,pristatytas,2.99,2021-01-23,11:20,internetu,5.0
194,1,5.99,Inga P.,Zarasai,išsiųstas,4.99,2014-10-28,14:00,parduotuvėje,
195,1,5.99,Gintarė C.,Radviliškis,naujas,2.99,2019-06-12,10:14,internetu,4.0
196,1,7.99,Ona I.,Alytus,pristatytas,2.99,2020-07-09,12:33,internetu,4.0
197,2,54.98,Jurgis N.,Prienai,pristatytas,19.99,2021-11-26,15:23,parduotuvėje,5.0
198,5,57.95,Vaida T.,Zarasai,išsiųstas,2.99,2014-11-27,14:7,parduotuvėje,5.0
199,2,17.98,Jonas E.,Šiauliai,pristatytas,2.99,2021-03-21,10:36,internetu,5.0
200,5,124.95,Aurimas O.,Zarasai,pristatytas,2.99,2024-02-10,11:17,internetu,
201,3,40.97,Ona S.,Pakruojis,pristatytas,2.99,2016-09-30,12:35,internetu,
202,3,20.97,Gintaras C.,Kaišiadorys,pristatytas,2.99,2015-04-17,12:19,internetu,4.0
203,1,29.99,Jolanta O.,Šilutė,pristatytas,9.99,2018-12-06,11:58,internetu,1.0
204,1,14.99,Jolanta B.,Palanga,patvirtintas,19.99,2017-01-13,10:20,internetu,4.0
205,1,49.99,Jolanta X.,Panevėžys,pristatytas,2.99,2022-07-30,8:52,internetu,5.0
206,3,20.97,Dalia H.,Šilutė,pristatytas,4.99,2018-12-13,10:51,parduotuvėje,2.0
207,5,70.95,Jolanta A.,Varėna,pristatytas,2.99,2015-05-15,8:46,internetu,5.0
208,3,72.97,Gintautas F.,Pabradė,atšauktas,19.99,2020-08-31,10:45,internetu,2.0
209,2,15.98,Giedrius O.,Neringa,pristatytas,19.99,2018-03-24,12:12,internetu,5.0
210,3,84.97,Jonas D.,Kalvarija,pristatytas,9.99,2014-12-17,12:55,internetu,
211,4,157.96,Jolanta C.,Mažeikiai,atšauktas,2.99,2018-09-20,10:51,internetu,3.0
212,3,69.97,Rasa L.,Kėdainiai,pristatytas,2.99,2024-01-06,8:57,internetu,3.0
213,4,82.96,Viktorija T.,Šilutė,pristatytas,19.99,2021-11-17,12:15,internetu,5.0
214,4,82.96,Aurimas P.,Palanga,pristatytas,4.99,2023-09-20,10:45,parduotuvėje,5.0
215,4,97.96,Elžbieta P.,Zarasai,pristatytas,19.99,2019-10-23,12:40,internetu,2.0
216,5,87.95,Vitalijus T.,Kėdainiai,pristatytas,2.99,2023-03-29,9:36,internetu,3.0
217,1,49.99,Vitalijus Z.,Šilutė,išsiųstas,9.99,2019-04-14,14:3,internetu,5.0
218,3,84.97,Marius S.,Kėdainiai,naujas,2.99,2016-07-29,9:40,internetu,2.0
219,2,34.98,Petras W.,Šilutė,pristatytas,0.0,2015-09-04,9:10,internetu,2.0
220,3,69.97,Bronius V.,Marijampolė,pristatytas,2.99,2016-03-18,12:24,internetu,2.0
221,4,32.96,Jolanta Y.,Prienai,pristatytas,2.99,2018-12-15,8:42,internetu,5.0
222,4,73.96,Rasa R.,Kaišiadorys,pristatytas,2.99,2020-11-15,15:32,internetu,5.0
223,2,39.98,Jolanta V.,Zarasai,atšauktas,2.99,2023-05-23,12:1,internetu,2.0
224,5,120.95,Giedrė U.,Varėna,naujas,4.99,2018-02-20,13:32,internetu,4.0
225,2,39.98,Asta U.,Kaišiadorys,išsiųstas,19.99,2019-02-11,13:4,internetu,5.0
226,3,27.97,Laima B.,Panevėžys,pristatytas,2.99,2024-02-23,8:44,internetu,5.0
227,2,37.98,Aidas W.,Druskininkai,pristatytas,0.0,2016-09-11,15:36,parduotuvėje,5.0
228,4,137.96,Aidas Q.,Grigiškės,pristatytas,2.99,2021-09-28,15:38,parduotuvėje,4.0
229,3,89.97,Ona E.,Zarasai,pristatytas,2.99,2022-02-14,10:48,internetu,5.0
230,1,9.99,Petras L.,Jonava,patvirtintas,0.0,2017-03-05,10:16,internetu,4.0
231,2,19.98,Ona B.,Marijampolė,pristatytas,9.99,2016-03-06,12:33,internetu,5.0
232,1,9.99,Marius M.,Kėdainiai,pristatytas,0.0,2016-07-06,15:16,internetu,4.0
233,2,19.98,Aidas B.,Kėdainiai,pristatytas,19.99,2022-02-20,13:56,internetu,5.0
234,3,47.97,Inga S.,Kaišiadorys,pristatytas,2.99,2014-10-10,14:33,internetu,3.0
235,2,15.98,Jonas X.,Švenčionys,pristatytas,2.99,2022-05-19,14:9,internetu,4.0
236,4,72.96,Ona W.,Zarasai,pristatytas,9.99,2019-06-13,9:4,internetu,5.0
237,3,24.97,Jolanta K.,Jonava,pristatytas,4.99,2019-06-05,10:53,internetu,4.0
238,1,7.99,Jolanta N.,Pabradė,pristatytas,19.99,2018-08-28,11:20,internetu,5.0
239,1,9.99,Gintarė Q.,Kaišiadorys,pristatytas,19.99,2016-09-13,10:9,parduotuvėje,3.0
240,3,29.97,Jolanta S.,Kėdainiai,išsiųstas,19.99,2015-05-05,14:44,internetu,3.0
241,2,17.98,Rimantas T.,Jonava,išsiųstas,2.99,2020-03-22,8:25,parduotuvėje,5.0
242,4,104.96,Ona K.,Kaišiadorys,pristatytas,0.0,2018-10-14,10:11,internetu,4.0
243,4,79.96,Jolanta E.,Šilutė,pristatytas,19.99,2023-11-24,10:31,internetu,5.0
244,5,112.95,Elžbieta R.,Trakai,pristatytas,2.99,2017-05-26,8:19,internetu,5.0
245,5,76.95,Vitalijus T.,Biržai,naujas,0.0,2021-06-23,13:55,internetu,4.0
246,1,49.99,Aurimas L.,Kalvarija,pristatytas,19.99,2023-10-25,9:54,internetu,2.0
247,2,59.98,Gintautas B.,Vilnius,pristatytas,2.99,2024-04-14,12:50,parduotuvėje,4.0
248,3,25.97,Ona I.,Kaišiadorys,pristatytas,9.99,2015-10-02,13:25,internetu,5.0
249,2,15.98,Marius U.,Kėdainiai,pristatytas,4.99,2015-09-08,9:51,internetu,3.0
250,5,125.95,Vitalijus C.,Alytus,pristatytas,2.99,2018-01-12,8:35,internetu,3.0
251,3,45.97,Aurimas K.,Klaipėda,pristatytas,2.99,2022-09-30,11:59,parduotuvėje,2.0
252,4,82.96,Marius G.,Panevėžys,pristatytas,2.99,2022-11-08,15:3,parduotuvėje,
253,3,15.97,Marius Q.,Pabradė,patvirtintas,9.99,2016-01-15,11:17,internetu,5.0
254,3,37.97,Ona O.,Anykščiai,pristatytas,2.99,2019-03-02,11:18,internetu,5.0
255,4,97.96,Vaidas J.,Joniškis,pristatytas,9.99,2015-03-27,14:18,internetu,1.0
256,2,20.98,Vaidas P.,Zarasai,patvirtintas,9.99,2015-11-24,10:46,internetu,4.0
257,3,70.97,Aidas G.,Alytus,pristatytas,0.0,2016-09-06,8:22,parduotuvėje,5.0
258,1,7.99,Jonas H.,Kybartai,pristatytas,2.99,2015-07-21,11:58,parduotuvėje,5.0
259,1,14.99,Giedrius Z.,Šiauliai,pristatytas,4.99,2022-11-11,12:14,internetu,4.0
260,1,5.99,Vaidas E.,Šilutė,pristatytas,2.99,2023-03-14,12:36,internetu,2.0
261,2,15.98,Vaidas H.,Kupiškis,pristatytas,0.0,2022-08-04,11:59,internetu,3.0
262,4,34.96,Laima A.,Ukmergė,pristatytas,2.99,2020-07-09,14:49,internetu,5.0
263,1,9.99,Inga Z.,Kėdainiai,išsiųstas,2.99,2015-11-27,8:6,internetu,3.0
264,4,33.96,Gintautas W.,Šilutė,pristatytas,2.99,2022-05-25,12:3,internetu,4.0
265,4,37.96,Laima E.,Lazdijai,patvirtintas,19.99,2017-04-30,10:32,internetu,3.0
266,3,27.97,Vilma D.,Kazlų Rūda,pristatytas,0.0,2020-02-23,11:8,internetu,2.0
267,2,59.98,Gintarė N.,Zarasai,pristatytas,2.99,2023-09-18,10:29,internetu,4.0
